Year,Month,Natural Cause,Septicemia,Malignant Neoplasms,Diabetes Mellitus,Alzheimer Disease,Influenza and Pneumonia,Chronic Lower Respiratory Diseases,Other Diseases of Respiratory System,"Nephritis, Nephrotic Syndrome, and Nephrosis","Symptoms, Signs, and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",Diseases of Heart,Cerebrovascular Diseases,"Nephritis, Nephrotic Syndrome and Nephrosis","Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death)
2014,1,226621,3944,51101,7344,8305,7929,15078,3466,4600.0,2815.0,58229,12074,,,,
2014,2,197001,3214,45558,6443,7315,5561,12747,2873,4064.0,2532.0,50435,10780,,,,
2014,3,212045,3451,50646,6738,7999,5148,13493,3260,4300.0,2632.0,54347,11395,,,,
2014,4,199454,3125,48304,6343,7117,4512,12573,3179,3902.0,2549.0,50954,10773,,,,
2014,5,199843,3105,49497,6272,7266,4099,12281,3101,3980.0,2584.0,50810,10963,,,,
2014,6,187644,2947,48103,5802,6755,3658,11207,2782,3631.0,2518.0,47144,9973,,,,
2014,7,192035,3112,49259,5983,6990,3535,11161,2690,3690.0,2449.0,47991,10449,,,,
2014,8,190204,2931,49519,5930,6986,3312,10722,2778,3778.0,2465.0,47109,10369,,,,
2014,9,188322,2918,48331,5810,7238,3352,10426,2696,3823.0,2586.0,46909,10513,,,,
2014,10,200741,3203,50900,6183,8319,3804,11412,2903,3881.0,2703.0,50401,11321,,,,
2014,11,204268,3192,49377,6477,9069,3875,11759,2977,3954.0,3000.0,52027,11863,,,,
2014,12,225948,3798,51105,7163,10182,6442,14242,3482,4543.0,3409.0,57992,12630,,,,
2015,1,247269,4194,52346,8053,11638,10005,16769,3797,4979.0,3005.0,63190,13576,,,,
2015,2,211028,3559,46226,6809,9477,6402,14196,3245,4344.0,2578.0,54374,11679,,,,
2015,3,224708,3723,51192,7106,9790,5601,15185,3668,4597.0,2674.0,57615,12546,,,,
2015,4,207336,3342,48745,6568,8859,4878,13982,3306,4247.0,2551.0,52961,11343,,,,
2015,5,205087,3204,50072,6479,8674,4109,13376,3109,4046.0,2489.0,52243,11445,,,,
2015,6,193014,3019,48055,6076,8109,3679,11946,2983,3881.0,2489.0,48672,10897,,,,
2015,7,197673,3151,50112,6251,8361,3476,11473,2906,3935.0,2529.0,50265,11218,,,,
2015,8,195312,3236,50196,6173,8346,3439,10768,2877,3797.0,2464.0,48945,10964,,,,
2015,9,191754,3123,48835,6012,8419,3378,10729,2844,3781.0,2518.0,47849,10826,,,,
2015,10,204815,3390,50889,6566,9368,3883,11675,3057,3927.0,2733.0,51290,11792,,,,
2015,11,202283,3315,48800,6582,9408,3763,11749,3141,4060.0,2801.0,51218,11777,,,,
2015,12,215657,3517,50462,6860,10112,4449,13193,3353,4365.0,3211.0,55220,12260,,,,
2016,1,227341,3846,51863,7392,10612,5295,14331,3705,4645.0,2755.0,58049,12968,,,,
2016,2,212140,3459,48258,6851,9729,5162,13986,3266,4307.0,2553.0,54652,11823,,,,
2016,3,224696,3773,51566,7108,10076,6208,15417,3668,4652.0,2655.0,57206,12431,,,,
2016,4,208249,3480,48574,6522,9479,5068,13634,3277,4124.0,2634.0,52973,11671,,,,
2016,5,205011,3257,49589,6626,9274,4053,12809,3232,4082.0,2631.0,51910,11637,,,,
2016,6,193541,2993,47587,6051,8687,3391,11703,3058,3927.0,2545.0,49210,10980,,,,
2016,7,198767,3222,49792,6221,9038,3412,11681,3051,3845.0,2726.0,49709,11036,,,,
2016,8,199453,3134,50593,6282,8991,3298,11464,2907,3929.0,2811.0,49701,11290,,,,
2016,9,194685,3138,48688,6175,9077,3307,11107,2936,3723.0,2674.0,48258,11057,,,,
2016,10,208592,3287,50815,6669,9875,3622,12009,3277,4212.0,2967.0,52414,11766,,,,
2016,11,207691,3310,49285,6715,9988,3740,12279,3227,4128.0,2957.0,52606,12163,,,,
2016,12,228888,3714,51428,7446,11277,4981,14176,3620,4472.0,3465.0,58572,13320,,,,
2017,1,241918,4089,52120,7907,12018,6925,16574,4083,4818.0,2769.0,61650,13595,,,,
2017,2,215160,3511,46531,7013,10309,6657,14934,3581,4317.0,2595.0,54944,11975,,,,
2017,3,231028,3796,50785,7588,11179,6490,15832,3885,4628.0,2859.0,58476,12969,,,,
2017,4,211542,3484,49056,6701,9932,4799,13916,3680,4281.0,2633.0,53081,12047,,,,
2017,5,208638,3242,49814,6713,9498,3877,13410,3344,4235.0,2566.0,52924,11978,,,,
2017,6,198032,3060,48436,6349,8943,3482,12161,3146,3777.0,2559.0,50117,11126,,,,
2017,7,200090,3014,50439,6472,9027,3363,11535,3136,3735.0,2496.0,50217,11362,,,,
2017,8,200838,3071,50351,6390,9298,3189,11260,3166,3874.0,2551.0,49894,11687,,,,
2017,9,199625,3173,48987,6558,9363,3313,11313,3167,3922.0,2734.0,49742,11426,,,,
2017,10,210453,3275,51132,6829,10080,3614,12095,3311,4053.0,2817.0,52495,12177,,,,
2017,11,210862,3348,49456,7061,10006,3905,12171,3378,4263.0,2854.0,53015,12301,,,,
2017,12,237819,3859,52001,7983,11751,6058,15000,3816,4730.0,3317.0,60902,13740,,,,
2018,1,265418,4502,52876,8674,13410,12164,18271,4603,5346.0,3138.0,67024,14653,,,,
2018,2,218466,3660,46447,7028,10623,8554,14579,3879,4398.0,2560.0,54673,12176,,,,
2018,3,228464,3673,50689,7415,10815,6133,14995,3990,4534.0,2665.0,58301,12927,,,,
2018,4,213483,3278,48786,7032,9902,4633,13857,3688,4219.0,2552.0,54235,12312,,,,
2018,5,208108,3092,49582,6805,9333,3588,13218,3606,4081.0,2508.0,53298,11812,,,,
2018,6,198902,2933,48344,6481,8906,3252,12206,3327,3904.0,2521.0,50456,11445,,,,
2018,7,203310,3178,49870,6612,9082,3153,11720,3438,3947.0,2626.0,51396,11656,,,,
2018,8,203330,3134,50582,6598,9277,3011,11339,3210,4083.0,2668.0,50652,11640,,,,
2018,9,198209,3092,49018,6458,9250,3082,11061,3238,3885.0,2535.0,49112,11296,,,,
2018,10,213240,3359,51631,7028,10080,3447,12073,3510,4047.0,2775.0,53232,12355,,,,
2018,11,213904,3197,49827,7152,10391,3614,12258,3426,4295.0,2885.0,54389,12427,,,,
2018,12,229184,3620,51622,7663,10950,4489,13909,3899,4647.0,3104.0,58613,13111,,,,
2019,1,237219,3580,52087,8218,10961,5720,15330,4116,4740.0,2738.0,60675,13447,,,,
2019,2,214074,3257,46739,7485,10098,5551,13890,3641,4270.0,2451.0,54835,12125,,,,
2019,3,234074,3559,51450,7886,10809,6292,15149,4126,4649.0,2718.0,59728,13433,,,,
2019,4,215336,3254,48493,7360,9824,4603,13785,3698,4286.0,2557.0,54920,12443,,,,
2019,5,215726,3089,50627,7202,9722,3742,13428,3629,4237.0,2575.0,54985,12232,,,,
2019,6,204218,2886,48621,6867,9351,3300,12335,3427,4054.0,2513.0,51680,11556,,,,
2019,7,207062,3015,50055,6880,9418,3068,11941,3369,4097.0,2622.0,52335,11870,,,,
2019,8,205220,2893,50508,6658,9420,3035,11399,3334,3929.0,2668.0,51346,11816,,,,
2019,9,201663,2952,48945,6585,9330,2882,11247,3346,3882.0,2591.0,50100,11752,,,,
2019,10,216275,3186,51501,7082,10423,3294,11970,3640,4316.0,2817.0,53795,12693,,,,
2019,11,218156,3176,49697,7332,10632,3520,12196,3766,4427.0,2885.0,54979,12955,,,,
2019,12,234438,3584,50878,8092,11511,4776,14309,4020,4678.0,3273.0,59663,13683,,,,
2020,1,242914,3687,52635,8234,11122,6656,15533,4497,,,60896,14113,4886.0,2755.0,6.0,4.0
2020,2,224343,3324,48764,7766,10444,6147,14267,4067,,,56851,12818,4507.0,2599.0,25.0,20.0
2020,3,247634,3669,51640,8433,11385,7579,15284,4499,,,60229,13742,4727.0,2808.0,7175.0,6785.0
2020,4,300780,3366,48773,9440,12307,5781,13765,4026,,,62285,13420,4476.0,2826.0,65553.0,62014.0
2020,5,255489,3085,49012,8361,10706,3612,12064,3489,,,56561,12776,4122.0,2524.0,38330.0,35279.0
2020,6,225455,3036,47962,7629,9954,3074,10935,3281,,,53590,12315,4006.0,2496.0,18026.0,15827.0
2020,7,252481,3127,50626,8641,11024,3333,11673,3309,,,57193,13024,4262.0,2887.0,31135.0,28279.0
2020,8,251071,3268,51209,8302,10966,3209,11516,3391,,,56245,13094,4231.0,2793.0,29913.0,27031.0
2020,9,232827,3136,49671,7994,10471,3083,11066,3303,,,53889,12771,3990.0,2583.0,19158.0,16858.0
2020,10,249366,3250,51255,8316,11066,3339,11599,3558,,,56898,13615,4237.0,2687.0,24930.0,22083.0
2020,11,278769,3388,49658,8887,11631,3538,12006,3641,,,58308,13557,4404.0,2842.0,53250.0,48037.0
2020,12,342681,3778,51907,10305,13195,4284,13055,4099,,,65414,15271,4750.0,3241.0,98175.0,89612.0
2021,1,348017,3688,51602,10254,12781,4245,12792,4141,,,65336,15112,5237.0,2886.0,105566.0,96438.0
2021,2,259720,3366,46084,8504,9974,3377,10826,3556,,,56164,13143,4390.0,2478.0,48570.0,42857.0
2021,3,245457,3392,50318,8623,9853,3333,11496,3757,,,57732,13689,4562.0,2622.0,23268.0,19633.0
2021,4,231263,3046,49280,8124,8899,3057,11002,3507,,,55127,13144,4286.0,2536.0,18805.0,16020.0
2021,5,231635,3111,50587,8021,9156,2926,11369,3713,,,55421,13129,4303.0,2585.0,14989.0,12744.0
2021,6,218347,3158,49258,7766,8804,2839,11191,3587,,,53632,12478,4125.0,2685.0,8024.0,6561.0
2021,7,230220,3419,51281,7841,9056,3121,11754,3740,,,55368,13065,4291.0,2886.0,11222.0,9741.0
2021,8,276343,3405,52355,8731,9739,3412,12189,3842,,,58456,13308,4415.0,3141.0,48822.0,45466.0
2021,9,285697,3544,50314,8689,9968,3534,11809,3801,,,56766,13211,4538.0,3151.0,63444.0,59213.0
2021,10,273380,3763,52119,8592,9981,3675,12178,3971,,,58660,13972,4566.0,3070.0,42606.0,38771.0
2021,11,263565,3615,50326,8781,10382,3814,12179,4066,,,59240,13989,4574.0,3222.0,32328.0,29008.0
2021,12,293776,3834,52506,9493,10849,4679,13665,4273,,,64871,14875,5145.0,3736.0,45623.0,41417.0
2022,1,343712,4033,53196,11057,12755,4948,14595,4579,,,71528,16375,5851.0,3169.0,84015.0,72657.0
2022,2,266656,3354,46424,8536,10489,3589,11724,3786,,,58148,13853,4932.0,2611.0,50298.0,41041.0
2022,3,242796,3567,51026,8606,9542,3504,12236,4018,,,58847,13957,5090.0,2683.0,15627.0,10993.0
2022,4,222071,3306,48986,7745,8951,3324,11583,3784,,,55351,13248,4610.0,2598.0,6265.0,3671.0
2022,5,228813,3355,50661,7885,9389,3425,12069,3803,,,56367,13230,4627.0,2616.0,7633.0,4818.0
2022,6,222477,3292,49225,7705,9040,3160,11413,3694,,,54452,12698,4497.0,2636.0,9539.0,6238.0
2022,7,233033,3370,51195,7966,9431,3072,11233,3916,,,56567,13297,4548.0,2834.0,13393.0,8943.0
2022,8,232752,3322,51604,7704,9407,2905,11258,3760,,,55705,13234,4507.0,2966.0,14139.0,9354.0
2022,9,225460,3360,50314,7623,9139,2967,11086,3764,,,54011,12964,4512.0,2767.0,11125.0,7051.0
2022,10,239088,3517,52108,8426,10230,3409,12122,4014,,,57760,13908,4758.0,3100.0,9713.0,6081.0
2022,11,243355,3700,51124,8486,10244,4870,12932,4215,,,59255,13907,4759.0,3163.0,10036.0,6382.0
2022,12,274202,4173,53402,9651,11539,7990,15298,4810,,,66795,15055,5326.0,3536.0,14383.0,9752.0
2023,1,263621,4066,52429,8940,10923,5931,14209,4736,,,63221,14919,5154.0,3654.0,14877.0,10018.0
2023,2,226272,3295,47676,7931,9251,3745,12102,4019,,,55514,12845,4501.0,3534.0,8985.0,5799.0
2023,3,244420,3764,51845,8431,9764,3838,13113,4470,,,60043,14026,4917.0,4311.0,7593.0,4803.0
2023,4,227960,3452,49542,7810,9113,3558,12402,4152,,,55753,13311,4492.0,4674.0,5150.0,3175.0
2023,5,228009,3314,51152,7694,8950,3396,11864,4162,,,55325,13370,4583.0,5633.0,3518.0,2103.0
2023,6,218250,3219,49871,7201,8593,3145,11221,3836,,,52393,12587,4378.0,7087.0,2547.0,1529.0
2023,7,223825,3253,51236,7312,8657,2860,11022,3857,,,52133,12662,4190.0,11272.0,2295.0,1429.0
2023,8,224239,3146,50947,6908,8911,2741,10528,3867,,,49733,12764,4188.0,15189.0,3844.0,2622.0
2023,9,116426,1605,26780,3332,4993,1488,5657,1976,,,25048,6505,2186.0,8012.0,2875.0,2053.0
